ax,ay,az,gx,gy,gz,target,target_name
-0.05,-0.32,0.96,44.13,4.76,-6.9,0.0,clockwise_wrist_turn
-0.05,-0.32,0.96,49.26,5.19,-7.39,0.0,clockwise_wrist_turn
-0.05,-0.33,0.96,55.85,5.43,-7.57,0.0,clockwise_wrist_turn
-0.05,-0.36,0.97,68.3,6.23,-7.39,0.0,clockwise_wrist_turn
-0.04,-0.39,0.99,88.93,7.32,-7.02,0.0,clockwise_wrist_turn
-0.04,-0.44,1.01,119.38,9.09,-6.53,0.0,clockwise_wrist_turn
-0.04,-0.53,1.05,166.75,11.29,-4.76,0.0,clockwise_wrist_turn
-0.05,-0.64,1.08,236.51,12.57,-2.26,0.0,clockwise_wrist_turn
-0.07,-0.68,1.06,315.49,11.35,-0.49,0.0,clockwise_wrist_turn
-0.08,-0.62,1.02,396.67,10.07,1.22,0.0,clockwise_wrist_turn
-0.08,-0.53,0.96,475.04,9.89,3.91,0.0,clockwise_wrist_turn
-0.09,-0.39,0.88,546.26,9.4,7.51,0.0,clockwise_wrist_turn
-0.09,-0.22,0.77,603.27,8.79,12.94,0.0,clockwise_wrist_turn
-0.1,-0.05,0.66,644.1,6.65,16.97,0.0,clockwise_wrist_turn
-0.09,0.08,0.51,672.97,3.78,15.87,0.0,clockwise_wrist_turn
-0.09,0.23,0.35,693.91,4.58,10.86,0.0,clockwise_wrist_turn
-0.09,0.42,0.19,700.5,5.43,6.47,0.0,clockwise_wrist_turn
-0.07,0.67,0.04,691.59,7.2,7.08,0.0,clockwise_wrist_turn
-0.05,0.92,-0.07,662.48,9.28,9.58,0.0,clockwise_wrist_turn
-0.03,1.1,-0.14,617.8,11.11,12.63,0.0,clockwise_wrist_turn
-0.01,1.21,-0.2,556.21,11.72,12.82,0.0,clockwise_wrist_turn
0.02,1.3,-0.25,491.33,11.6,12.39,0.0,clockwise_wrist_turn
0.04,1.41,-0.25,423.58,11.6,14.83,0.0,clockwise_wrist_turn
0.02,1.48,-0.23,354.68,11.17,17.33,0.0,clockwise_wrist_turn
-0.02,1.51,-0.21,286.8,9.34,20.26,0.0,clockwise_wrist_turn
-0.02,1.53,-0.17,218.44,6.29,24.11,0.0,clockwise_wrist_turn
-0.02,1.46,-0.13,154.91,2.08,27.65,0.0,clockwise_wrist_turn
-0.02,1.27,-0.11,106.45,-1.77,29.85,0.0,clockwise_wrist_turn
-0.02,1.09,-0.12,78.25,-4.15,27.59,0.0,clockwise_wrist_turn
-0.02,1.01,-0.15,63.35,-4.27,22.22,0.0,clockwise_wrist_turn
-0.01,1.0,-0.17,54.08,-3.97,15.87,0.0,clockwise_wrist_turn
-0.01,1.01,-0.19,45.23,-2.56,11.41,0.0,clockwise_wrist_turn
-0.01,1.01,-0.2,37.35,-1.71,7.32,0.0,clockwise_wrist_turn
