ax,ay,az,gx,gy,gz,target,target_name
0.03,-1.08,0.92,-8.42,-1.71,-151.43,11.0,palm_down_right_swipe
0.04,-1.1,0.91,-5.25,1.16,-169.25,11.0,palm_down_right_swipe
0.05,-1.06,0.91,-3.11,4.94,-185.42,11.0,palm_down_right_swipe
0.03,-0.98,0.93,-0.85,7.75,-201.66,11.0,palm_down_right_swipe
-0.03,-0.86,0.95,-2.01,10.74,-217.53,11.0,palm_down_right_swipe
-0.1,-0.72,0.96,-7.02,13.79,-230.83,11.0,palm_down_right_swipe
-0.15,-0.65,0.96,-13.55,18.19,-243.9,11.0,palm_down_right_swipe
-0.17,-0.66,0.94,-17.03,23.32,-252.93,11.0,palm_down_right_swipe
-0.21,-0.67,0.95,-13.79,27.83,-259.64,11.0,palm_down_right_swipe
-0.28,-0.56,0.99,-4.64,31.62,-264.1,11.0,palm_down_right_swipe
-0.39,-0.36,1.02,3.72,35.52,-264.77,11.0,palm_down_right_swipe
-0.47,-0.16,1.05,7.51,38.27,-263.98,11.0,palm_down_right_swipe
-0.52,0.01,1.09,11.29,39.25,-261.6,11.0,palm_down_right_swipe
-0.55,0.15,1.11,13.37,39.25,-258.18,11.0,palm_down_right_swipe
-0.57,0.25,1.13,16.11,38.27,-253.05,11.0,palm_down_right_swipe
-0.59,0.35,1.15,21.36,37.05,-244.14,11.0,palm_down_right_swipe
-0.62,0.48,1.15,25.45,34.48,-231.63,11.0,palm_down_right_swipe
-0.62,0.61,1.16,26.86,31.19,-215.76,11.0,palm_down_right_swipe
-0.61,0.68,1.16,27.47,27.4,-198.3,11.0,palm_down_right_swipe
-0.58,0.71,1.15,31.31,22.46,-179.81,11.0,palm_down_right_swipe
-0.52,0.79,1.11,37.17,16.66,-161.62,11.0,palm_down_right_swipe
-0.45,0.88,1.05,38.82,11.17,-143.49,11.0,palm_down_right_swipe
-0.38,0.96,1.01,32.96,6.47,-125.31,11.0,palm_down_right_swipe
-0.32,0.97,0.99,22.52,2.62,-107.48,11.0,palm_down_right_swipe
-0.25,0.96,0.98,11.29,-0.55,-90.21,11.0,palm_down_right_swipe
-0.19,0.93,0.97,0.31,-2.87,-74.4,11.0,palm_down_right_swipe
-0.14,0.9,0.97,-10.44,-4.88,-59.39,11.0,palm_down_right_swipe
-0.1,0.85,0.97,-18.74,-6.84,-46.69,11.0,palm_down_right_swipe
-0.07,0.77,0.98,-23.01,-8.79,-36.44,11.0,palm_down_right_swipe
-0.04,0.7,0.99,-23.32,-10.56,-27.71,11.0,palm_down_right_swipe
-0.01,0.64,0.98,-21.3,-11.66,-20.02,11.0,palm_down_right_swipe
